#Clock	 #core	throughput	thoughput (x10^6)	Speedup
thread	1	14053249	14.053249	1
thread	2	22489938	22.489938	1.60033726
thread	4	40781078	40.781078	2.901896778
thread	6	48259373	48.259373	3.434036713
thread	8	53901423	53.901423	3.835513268
thread	10	46629727	46.629727	3.318074489
thread	12	35676113	35.676113	2.538638076
thread	14	25906050	25.90605	1.843420692
thread	16	20090823	20.090823	1.429621221
thread	18	14540832	14.540832	1.034695393
thread	20	10463534	10.463534	0.7445633391
thread	22	9737188	9.737188	0.6928780668
thread	24	9357720	9.35772	0.6658759124
thread	26	7149329	7.149329	0.5087313973
thread	28	7010981	7.010981	0.498886841
thread	30	5784174	5.784174	0.4115898039
thread	32	4668451	4.668451	0.3321972734
thread	34	5403779	5.403779	0.3845216861
thread	36	4023507	4.023507	0.2863043984
thread	38	3851272	3.851272	0.2740485136
thread	40	3327445	3.327445	0.2367740727
thread	42	3411513	3.411513	0.2427561769
thread	44	3391924	3.391924	0.2413622643
thread	46	4096802	4.096802	0.2915199183
thread	48	3112072	3.112072	0.2214485775
