#Clock	 #core	throughput	thoughput (x10^6)	Speedup
global	1	14936399	14.936399	1
global	2	23195750	23.19575	1.552968021
global	4	39073730	39.07373	2.616007379
global	6	45946210	45.94621	3.076123636
global	8	48846574	48.846574	3.270304576
global	10	48256947	48.256947	3.230828729
global	12	44326756	44.326756	2.967700314
global	14	37917382	37.917382	2.538589254
global	16	31073751	31.073751	2.080404454
global	18	22537856	22.537856	1.508921662
global	20	20677100	20.6771	1.38434304
global	22	17128025	17.128025	1.146730547
global	24	11643790	11.64379	0.7795580447
global	26	11841074	11.841074	0.7927663154
global	28	9568322	9.568322	0.6406043384
global	30	10279231	10.279231	0.6882000809
global	32	8233678	8.233678	0.5512492
global	34	7031764	7.031764	0.470780407
global	36	6454938	6.454938	0.432161594
global	38	5947402	5.947402	0.398181784
global	40	6009876	6.009876	0.4023644521
global	42	5242367	5.242367	0.350979309
global	44	5330234	5.330234	0.3568620522
global	46	4721423	4.721423	0.3161018261
global	48	4471164	4.471164	0.2993468506
